date,station_id,precip_in
2025-08-01,KOJC,0.0
2025-08-01,KOJC,0.0
2025-08-02,KOJC,0.0
2025-08-03,KOJC,0.001
2025-08-04,KOJC,0.0
2025-08-05,KOJC,0.0
2025-08-06,KOJC,0.01
2025-08-07,KOJC,0.0
2025-08-08,KOJC,0.0
2025-08-09,KOJC,0.0
2025-08-10,KOJC,0.2
2025-08-11,KOJC,1.16
2025-08-12,KOJC,0.0
2025-08-13,KOJC,0.0
2025-08-14,KOJC,0.0
2025-08-15,KOJC,0.0
2025-08-16,KOJC,0.0
2025-08-17,KOJC,0.0
2025-08-18,KOJC,0.0
2025-08-19,KOJC,0.001
2025-08-20,KOJC,0.0
2025-08-21,KOJC,0.0
2025-08-22,KOJC,0.0
2025-08-23,KOJC,0.0
2025-08-24,KOJC,0.0
2025-08-25,KOJC,0.0
2025-08-26,KOJC,0.0
2025-08-27,KOJC,0.0
2025-08-28,KOJC,0.0
2025-08-29,KOJC,0.0
2025-08-30,KOJC,0.01
2025-08-31,KOJC,0.02
2025-09-01,KOJC,0.11
2025-09-02,KOJC,0.0
2025-09-03,KOJC,0.001
2025-09-04,KOJC,0.0
2025-09-05,KOJC,0.001
2025-09-06,KOJC,0.0
2025-09-07,KOJC,0.0
2025-09-08,KOJC,0.0
2025-09-09,KOJC,0.25
2025-09-10,KOJC,0.0
2025-09-11,KOJC,0.0
2025-09-12,KOJC,0.0
2025-09-13,KOJC,0.0
2025-09-14,KOJC,0.0
2025-09-15,KOJC,0.03
2025-09-16,KOJC,0.0
2025-09-17,KOJC,0.0
2025-09-18,KOJC,0.98
2025-09-19,KOJC,0.0
2025-09-20,KOJC,0.0
2025-09-21,KOJC,0.001
2025-09-22,KOJC,0.0
2025-09-23,KOJC,0.31
2025-09-24,KOJC,0.05
2025-09-25,KOJC,0.0
2025-09-26,KOJC,0.0
2025-09-27,KOJC,0.0
2025-09-28,KOJC,0.0
2025-09-29,KOJC,0.0
2025-09-30,KOJC,0.0
2025-10-01,KOJC,0.0
2025-10-02,KOJC,0.0
2025-10-03,KOJC,0.0
2025-10-04,KOJC,0.0
2025-10-05,KOJC,0.0
2025-10-06,KOJC,0.01
2025-10-07,KOJC,0.02
2025-10-08,KOJC,0.0
2025-10-09,KOJC,0.0
2025-10-10,KOJC,0.0
2025-10-11,KOJC,0.0
2025-10-12,KOJC,0.001
2025-10-13,KOJC,0.02
2025-10-14,KOJC,0.04
2025-10-15,KOJC,0.001
2025-10-16,KOJC,0.0
2025-10-17,KOJC,0.04
2025-10-18,KOJC,0.01
2025-10-19,KOJC,0.0
2025-10-20,KOJC,0.0
2025-10-21,KOJC,0.0
2025-10-22,KOJC,0.0
2025-10-23,KOJC,0.01
2025-10-24,KOJC,0.19
2025-10-25,KOJC,0.05
2025-10-26,KOJC,0.01
2025-10-27,KOJC,0.0
2025-10-28,KOJC,0.37
2025-10-29,KOJC,0.16
2025-10-30,KOJC,0.0
2025-10-31,KOJC,0.0
2025-11-01,KOJC,0.0
2025-11-02,KOJC,0.0
2025-11-03,KOJC,0.0
2025-11-04,KOJC,0.0
2025-11-05,KOJC,0.0
2025-11-06,KOJC,0.0
2025-11-07,KOJC,0.0
2025-11-08,KOJC,0.001
2025-11-09,KOJC,0.0
2025-11-10,KOJC,0.0
2025-11-11,KOJC,0.0
2025-11-12,KOJC,0.0
2025-11-13,KOJC,0.0
2025-11-14,KOJC,0.0
2025-11-15,KOJC,0.0
2025-11-16,KOJC,0.0
2025-11-17,KOJC,0.0
2025-11-18,KOJC,0.0
2025-11-19,KOJC,0.0
2025-11-20,KOJC,0.23
2025-11-21,KOJC,1.44
2025-11-22,KOJC,0.0
2025-11-23,KOJC,0.0
2025-08-01,KIXD,0.0
2025-08-02,KIXD,0.0
2025-08-03,KIXD,0.001
2025-08-04,KIXD,0.01
2025-08-05,KIXD,0.0
2025-08-06,KIXD,0.001
2025-08-07,KIXD,0.0
2025-08-08,KIXD,0.0
2025-08-09,KIXD,0.0
2025-08-10,KIXD,0.18
2025-08-11,KIXD,0.74
2025-08-12,KIXD,0.0
2025-08-13,KIXD,0.0
2025-08-14,KIXD,0.0
2025-08-15,KIXD,0.0
2025-08-16,KIXD,0.0
2025-08-17,KIXD,0.0
2025-08-18,KIXD,0.0
2025-08-19,KIXD,0.001
2025-08-20,KIXD,0.0
2025-08-21,KIXD,0.0
2025-08-22,KIXD,0.0
2025-08-23,KIXD,0.001
2025-08-24,KIXD,0.0
2025-08-25,KIXD,0.0
2025-08-26,KIXD,0.0
2025-08-27,KIXD,0.0
2025-08-28,KIXD,0.0
2025-08-29,KIXD,0.0
2025-08-30,KIXD,0.03
2025-08-31,KIXD,0.04
2025-09-01,KIXD,0.3
2025-09-02,KIXD,0.0
2025-09-03,KIXD,0.001
2025-09-04,KIXD,0.0
2025-09-05,KIXD,0.001
2025-09-06,KIXD,0.0
2025-09-07,KIXD,0.0
2025-09-08,KIXD,0.0
2025-09-09,KIXD,0.49
2025-09-10,KIXD,0.0
2025-09-11,KIXD,0.0
2025-09-12,KIXD,0.0
2025-09-13,KIXD,0.0
2025-09-14,KIXD,0.0
2025-09-15,KIXD,0.09
2025-09-16,KIXD,0.0
2025-09-17,KIXD,0.0
2025-09-18,KIXD,0.83
2025-09-19,KIXD,0.0
2025-09-20,KIXD,0.0
2025-09-21,KIXD,0.0
2025-09-22,KIXD,0.0
2025-09-23,KIXD,0.37
2025-09-24,KIXD,0.01
2025-09-25,KIXD,0.0
2025-09-26,KIXD,0.0
2025-09-27,KIXD,0.0
2025-09-28,KIXD,0.0
2025-09-29,KIXD,0.0
2025-09-30,KIXD,0.0
2025-10-01,KIXD,0.0
2025-10-02,KIXD,0.0
2025-10-03,KIXD,0.0
2025-10-04,KIXD,0.0
2025-10-05,KIXD,0.0
2025-10-06,KIXD,0.05
2025-10-07,KIXD,0.08
2025-10-08,KIXD,0.0
2025-10-09,KIXD,0.0
2025-10-10,KIXD,0.001
2025-10-11,KIXD,0.0
2025-10-12,KIXD,0.02
2025-10-13,KIXD,0.01
2025-10-14,KIXD,0.01
2025-10-15,KIXD,0.001
2025-10-16,KIXD,0.0
2025-10-17,KIXD,0.15
2025-10-18,KIXD,0.0
2025-10-19,KIXD,0.0
2025-10-20,KIXD,0.0
2025-10-21,KIXD,0.0
2025-10-22,KIXD,0.0
2025-10-23,KIXD,0.001
2025-10-24,KIXD,0.22
2025-10-25,KIXD,0.12
2025-10-26,KIXD,0.03
2025-10-27,KIXD,0.0
2025-10-28,KIXD,0.5
2025-10-29,KIXD,0.16
2025-10-30,KIXD,0.0
2025-10-31,KIXD,0.001
2025-11-01,KIXD,0.0
2025-11-02,KIXD,0.0
2025-11-03,KIXD,0.0
2025-11-04,KIXD,0.0
2025-11-05,KIXD,0.0
2025-11-06,KIXD,0.0
2025-11-07,KIXD,0.0
2025-11-08,KIXD,0.001
2025-11-09,KIXD,0.0
2025-11-10,KIXD,0.0
2025-11-11,KIXD,0.0
2025-11-12,KIXD,0.0
2025-11-13,KIXD,0.0
2025-11-14,KIXD,0.0
2025-11-15,KIXD,0.0
2025-11-16,KIXD,0.0
2025-11-17,KIXD,0.0
2025-11-18,KIXD,0.0
2025-11-19,KIXD,0.0
2025-11-20,KIXD,0.19
2025-11-21,KIXD,1.26
2025-11-22,KIXD,0.01
2025-11-23,KIXD,0.0
2025-08-01,KLWC,0.0
2025-08-02,KLWC,0.0
2025-08-03,KLWC,0.001
2025-08-04,KLWC,0.0
2025-08-05,KLWC,0.0
2025-08-06,KLWC,0.02
2025-08-07,KLWC,0.0
2025-08-08,KLWC,0.0
2025-08-09,KLWC,0.07
2025-08-10,KLWC,0.71
2025-08-11,KLWC,0.28
2025-08-12,KLWC,0.0
2025-08-13,KLWC,0.0
2025-08-14,KLWC,0.0
2025-08-15,KLWC,0.0
2025-08-16,KLWC,0.0
2025-08-17,KLWC,0.0
2025-08-18,KLWC,0.0
2025-08-19,KLWC,0.33
2025-08-20,KLWC,0.0
2025-08-21,KLWC,0.0
2025-08-22,KLWC,0.0
2025-08-23,KLWC,0.001
2025-08-24,KLWC,0.0
2025-08-25,KLWC,0.0
2025-08-26,KLWC,0.0
2025-08-27,KLWC,0.0
2025-08-28,KLWC,0.0
2025-08-29,KLWC,0.0
2025-08-30,KLWC,0.12
2025-08-31,KLWC,0.03
2025-09-01,KLWC,0.04
2025-09-02,KLWC,0.0
2025-09-03,KLWC,0.001
2025-09-04,KLWC,0.0
2025-09-05,KLWC,0.001
2025-09-06,KLWC,0.0
2025-09-07,KLWC,0.0
2025-09-08,KLWC,0.0
2025-09-09,KLWC,0.41
2025-09-10,KLWC,0.0
2025-09-11,KLWC,0.001
2025-09-12,KLWC,0.0
2025-09-13,KLWC,0.0
2025-09-14,KLWC,0.001
2025-09-15,KLWC,0.001
2025-09-16,KLWC,0.0
2025-09-17,KLWC,0.01
2025-09-18,KLWC,0.53
2025-09-19,KLWC,0.01
2025-09-20,KLWC,0.0
2025-09-21,KLWC,0.0
2025-09-22,KLWC,0.0
2025-09-23,KLWC,0.51
2025-09-24,KLWC,0.001
2025-09-25,KLWC,0.0
2025-09-26,KLWC,0.0
2025-09-27,KLWC,0.0
2025-09-28,KLWC,0.0
2025-09-29,KLWC,0.0
2025-09-30,KLWC,0.0
2025-10-01,KLWC,0.0
2025-10-02,KLWC,0.0
2025-10-03,KLWC,0.0
2025-10-04,KLWC,0.0
2025-10-05,KLWC,0.0
2025-10-06,KLWC,0.12
2025-10-07,KLWC,0.01
2025-10-08,KLWC,0.0
2025-10-09,KLWC,0.0
2025-10-10,KLWC,0.0
2025-10-11,KLWC,0.0
2025-10-12,KLWC,0.001
2025-10-13,KLWC,0.001
2025-10-14,KLWC,0.001
2025-10-15,KLWC,0.001
2025-10-16,KLWC,0.0
2025-10-17,KLWC,0.2
2025-10-18,KLWC,0.001
2025-10-19,KLWC,0.0
2025-10-20,KLWC,0.0
2025-10-21,KLWC,0.0
2025-10-22,KLWC,0.0
2025-10-23,KLWC,0.01
2025-10-24,KLWC,0.5
2025-10-25,KLWC,0.15
2025-10-26,KLWC,0.01
2025-10-27,KLWC,0.01
2025-10-28,KLWC,0.29
2025-10-29,KLWC,0.1
2025-10-30,KLWC,0.0
2025-10-31,KLWC,0.0
2025-11-01,KLWC,0.0
2025-11-02,KLWC,0.0
2025-11-03,KLWC,0.0
2025-11-04,KLWC,0.0
2025-11-05,KLWC,0.0
2025-11-06,KLWC,0.0
2025-11-07,KLWC,0.0
2025-11-08,KLWC,0.01
2025-11-09,KLWC,0.0
2025-11-10,KLWC,0.0
2025-11-11,KLWC,0.0
2025-11-12,KLWC,0.0
2025-11-13,KLWC,0.0
2025-11-14,KLWC,0.0
2025-11-15,KLWC,0.0
2025-11-16,KLWC,0.0
2025-11-17,KLWC,0.001
2025-11-18,KLWC,0.0
2025-11-19,KLWC,0.01
2025-11-20,KLWC,0.25
2025-11-21,KLWC,1.16
2025-11-22,KLWC,0.0
2025-11-23,KLWC,0.0
2025-08-01,KMCI,0.0
2025-08-02,KMCI,0.0
2025-08-03,KMCI,0.0
2025-08-04,KMCI,0.0
2025-08-05,KMCI,0.0
2025-08-06,KMCI,0.01
2025-08-07,KMCI,0.0
2025-08-08,KMCI,0.01
2025-08-09,KMCI,0.34
2025-08-10,KMCI,0.09
2025-08-11,KMCI,0.11
